,gender,age,field_of_work_agg,race,hometown_agg,partner_attractiveness,partner_sincerity,partner_intelligence,partner_humor,partner_ambition,partner_shared_interests,liking,reciprocity_estimate,acquaintance,partner_age,partner_field_of_work_agg,partner_race,partner_hometown_agg,decision
10,0,24.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,7.0,9.0,7.0,6.0,5.0,7.0,7.0,8.0,0,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,1
11,0,24.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,6.0,8.0,7.0,9.0,7.0,8.0,8.0,6.0,1,24.0,"Business, law, politics and intl. affairs",Latino,Mid US,0
12,0,24.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,8.0,7.0,8.0,3.0,6.0,2.0,6.0,5.0,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,0
13,0,24.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,7.0,5.0,9.0,6.0,7.0,9.0,8.0,7.0,0,30.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,1
14,0,24.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,5.0,8.0,7.0,5.0,9.0,5.0,5.0,6.0,0,27.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,0
15,0,24.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,6.0,7.0,8.0,7.0,9.0,8.0,8.0,7.0,0,24.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,1
16,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,7.0,9.0,10.0,7.0,8.0,9.0,8.0,7.0,1,27.0,"Business, law, politics and intl. affairs",Caucasian,South America,0
17,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,9.0,7.0,9.0,8.0,9.0,7.0,8.0,7.0,0,22.0,"Business, law, politics and intl. affairs",Caucasian,Europe,0
18,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,7.0,9.0,9.0,7.0,9.0,7.0,8.0,7.0,0,22.0,"Business, law, politics and intl. affairs",Asian,Western US,0
19,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,9.0,7.0,9.0,7.0,9.0,7.0,8.0,7.0,0,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,0
20,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,8.0,9.0,10.0,7.0,7.0,9.0,8.0,7.0,0,30.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,0
21,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,7.0,9.0,9.0,8.0,9.0,7.0,8.0,7.0,0,27.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,0
22,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,8.0,7.0,9.0,7.0,9.0,7.0,8.0,7.0,0,24.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,0
23,0,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,4.0,10.0,8.0,5.0,8.0,7.0,6.0,7.0,0,27.0,"Business, law, politics and intl. affairs",Caucasian,South America,0
24,0,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,8.0,7.0,8.0,10.0,7.0,8.0,8.0,1.0,1,22.0,"Business, law, politics and intl. affairs",Caucasian,Europe,0
25,0,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,4.0,7.0,8.0,8.0,6.0,7.0,4.0,1.0,0,22.0,"Business, law, politics and intl. affairs",Asian,Western US,0
26,0,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,8.0,10.0,7.0,10.0,7.0,10.0,8.0,10.0,1,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,1
27,0,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,6.0,9.0,8.0,9.0,8.0,9.0,7.0,7.0,0,24.0,"Business, law, politics and intl. affairs",Latino,Mid US,0
28,0,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,5.0,10.0,8.0,4.0,8.0,2.0,4.0,3.0,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,0
29,0,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,7.0,10.0,10.0,7.0,10.0,5.0,5.0,1.0,0,30.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,0
30,0,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,5.0,9.0,9.0,5.0,9.0,7.0,6.0,6.0,0,27.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,0
31,0,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,8.0,9.0,10.0,10.0,8.0,8.0,10.0,8.0,0,24.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,1
32,0,21.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,5.0,8.0,8.0,2.0,2.0,2.0,7.0,5.0,0,27.0,"Business, law, politics and intl. affairs",Caucasian,South America,0
33,0,21.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,8.0,6.0,6.0,5.0,5.0,5.0,6.0,4.0,1,22.0,"Business, law, politics and intl. affairs",Caucasian,Europe,0
34,0,21.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,4.0,6.0,8.0,8.0,6.0,5.0,6.0,5.0,1,22.0,"Business, law, politics and intl. affairs",Asian,Western US,0
35,0,21.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,8.0,5.0,5.0,7.0,7.0,9.0,8.0,2.0,1,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,1
36,0,21.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,6.0,7.0,7.0,5.0,4.0,8.0,7.0,4.0,0,24.0,"Business, law, politics and intl. affairs",Latino,Mid US,0
37,0,21.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,5.0,6.0,7.0,5.0,7.0,8.0,7.0,3.0,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,1
38,0,21.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,6.0,6.0,8.0,5.0,5.0,6.0,6.0,3.0,0,30.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,1
39,0,21.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,5.0,5.0,7.0,6.0,7.0,5.0,6.0,4.0,0,27.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,1
40,0,21.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,9.0,6.0,7.0,9.0,6.0,5.0,10.0,3.0,0,24.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,1
41,0,23.0,"Business, law, politics and intl. affairs",Asian,Eastern US,6.0,9.0,7.0,6.0,7.0,6.0,6.0,6.0,0,27.0,"Business, law, politics and intl. affairs",Caucasian,South America,1
42,0,23.0,"Business, law, politics and intl. affairs",Asian,Eastern US,6.0,9.0,9.0,6.0,8.0,2.0,7.0,6.0,0,22.0,"Business, law, politics and intl. affairs",Caucasian,Europe,1
43,0,23.0,"Business, law, politics and intl. affairs",Asian,Eastern US,4.0,7.0,9.0,4.0,3.0,2.0,6.0,2.0,1,22.0,"Business, law, politics and intl. affairs",Asian,Western US,0
44,0,23.0,"Business, law, politics and intl. affairs",Asian,Eastern US,8.0,6.0,7.0,8.0,2.0,8.0,9.0,4.0,0,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,1
45,0,23.0,"Business, law, politics and intl. affairs",Asian,Eastern US,5.0,4.0,8.0,8.0,4.0,2.0,4.0,3.0,1,24.0,"Business, law, politics and intl. affairs",Latino,Mid US,0
46,0,23.0,"Business, law, politics and intl. affairs",Asian,Eastern US,3.0,7.0,6.0,1.0,1.0,1.0,2.0,2.0,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,0
47,0,23.0,"Business, law, politics and intl. affairs",Asian,Eastern US,8.0,8.0,8.0,8.0,3.0,4.0,8.0,7.0,0,30.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,1
48,0,23.0,"Business, law, politics and intl. affairs",Asian,Eastern US,4.0,8.0,9.0,2.0,8.0,3.0,5.0,5.0,0,27.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,0
49,0,23.0,"Business, law, politics and intl. affairs",Asian,Eastern US,8.0,9.0,9.0,9.0,10.0,7.0,9.0,8.0,0,24.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,1
50,0,22.0,"Business, law, politics and intl. affairs",Asian,Western US,4.0,8.0,8.0,5.0,7.0,4.0,7.0,4.0,0,27.0,"Business, law, politics and intl. affairs",Caucasian,South America,0
51,0,22.0,"Business, law, politics and intl. affairs",Asian,Western US,6.0,6.0,8.0,4.0,9.0,4.0,7.0,3.0,1,22.0,"Business, law, politics and intl. affairs",Caucasian,Europe,0
52,0,22.0,"Business, law, politics and intl. affairs",Asian,Western US,3.0,6.0,8.0,7.0,8.0,8.0,7.0,8.0,1,22.0,"Business, law, politics and intl. affairs",Asian,Western US,0
53,0,22.0,"Business, law, politics and intl. affairs",Asian,Western US,7.0,8.0,8.0,7.0,7.0,6.0,8.0,6.0,1,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,1
54,0,22.0,"Business, law, politics and intl. affairs",Asian,Western US,4.0,7.0,7.0,4.0,8.0,5.0,5.0,6.0,1,24.0,"Business, law, politics and intl. affairs",Latino,Mid US,0
55,0,22.0,"Business, law, politics and intl. affairs",Asian,Western US,4.0,8.0,7.0,4.0,5.0,4.0,5.0,5.0,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,0
56,0,22.0,"Business, law, politics and intl. affairs",Asian,Western US,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,0,30.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,1
57,0,22.0,"Business, law, politics and intl. affairs",Asian,Western US,5.0,7.0,8.0,5.0,9.0,5.0,5.0,7.0,0,27.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,0
58,0,22.0,"Business, law, politics and intl. affairs",Asian,Western US,8.0,6.0,7.0,7.0,8.0,6.0,7.0,5.0,0,24.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,1
59,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,5.0,8.0,7.0,4.0,7.0,5.0,4.0,5.0,0,27.0,"Business, law, politics and intl. affairs",Caucasian,South America,1
60,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,8.0,7.0,7.0,9.0,6.0,7.0,8.0,7.0,0,22.0,"Business, law, politics and intl. affairs",Caucasian,Europe,1
61,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,5.0,8.0,8.0,6.0,7.0,7.0,5.0,5.0,0,22.0,"Business, law, politics and intl. affairs",Asian,Western US,1
62,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,8.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,0,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,1
63,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,6.0,8.0,8.0,5.0,6.0,7.0,6.0,5.0,0,24.0,"Business, law, politics and intl. affairs",Latino,Mid US,1
64,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,6.0,8.0,8.0,5.0,6.0,7.0,6.0,5.0,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,1
65,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,6.0,7.0,8.0,5.0,7.0,7.0,6.0,6.0,0,30.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,1
66,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,5.0,6.0,7.0,4.0,5.0,6.0,5.0,4.0,0,27.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,1
67,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,7.0,6.0,8.0,7.0,9.0,8.0,8.0,7.0,0,24.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,1
68,0,26.0,"Business, law, politics and intl. affairs",Other,Western US,8.0,10.0,9.0,8.0,7.0,6.0,5.0,5.0,0,27.0,"Business, law, politics and intl. affairs",Caucasian,South America,1
69,0,26.0,"Business, law, politics and intl. affairs",Other,Western US,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,0,22.0,"Business, law, politics and intl. affairs",Caucasian,Europe,1
70,0,26.0,"Business, law, politics and intl. affairs",Other,Western US,5.0,10.0,10.0,6.0,6.0,6.0,8.0,5.0,0,22.0,"Business, law, politics and intl. affairs",Asian,Western US,1
71,0,26.0,"Business, law, politics and intl. affairs",Other,Western US,10.0,9.0,8.0,8.0,7.0,7.0,7.0,5.0,0,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,1
72,0,26.0,"Business, law, politics and intl. affairs",Other,Western US,5.0,10.0,8.0,8.0,5.0,5.0,5.0,5.0,0,24.0,"Business, law, politics and intl. affairs",Latino,Mid US,1
73,0,26.0,"Business, law, politics and intl. affairs",Other,Western US,8.0,9.0,9.0,7.0,6.0,5.0,6.0,5.0,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,1
74,0,26.0,"Business, law, politics and intl. affairs",Other,Western US,6.0,8.0,9.0,6.0,6.0,6.0,7.0,5.0,0,30.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,1
75,0,26.0,"Business, law, politics and intl. affairs",Other,Western US,6.0,7.0,8.0,7.0,9.0,6.0,7.0,5.0,0,27.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,1
76,0,26.0,"Business, law, politics and intl. affairs",Other,Western US,7.0,8.0,7.0,8.0,7.0,8.0,8.0,5.0,0,24.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,1
77,1,27.0,"Business, law, politics and intl. affairs",Caucasian,South America,6.0,8.0,8.0,8.0,8.0,6.0,7.0,4.0,0,21.0,"Business, law, politics and intl. affairs",Asian,Mid US,0
78,1,27.0,"Business, law, politics and intl. affairs",Caucasian,South America,8.0,7.0,6.0,9.0,7.0,4.0,7.0,2.0,0,24.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,0
79,1,27.0,"Business, law, politics and intl. affairs",Caucasian,South America,7.0,8.0,6.0,5.0,8.0,4.0,5.0,2.0,1,25.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,0
80,1,27.0,"Business, law, politics and intl. affairs",Caucasian,South America,6.0,7.0,8.0,7.0,7.0,5.0,6.0,3.0,0,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,0
81,1,27.0,"Business, law, politics and intl. affairs",Caucasian,South America,6.0,8.0,8.0,8.0,7.0,6.0,6.0,5.0,0,21.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,0
82,1,27.0,"Business, law, politics and intl. affairs",Caucasian,South America,7.0,9.0,8.0,9.0,8.0,4.0,7.0,4.0,0,23.0,"Business, law, politics and intl. affairs",Asian,Eastern US,0
83,1,27.0,"Business, law, politics and intl. affairs",Caucasian,South America,7.0,8.0,8.0,8.0,7.0,7.0,7.0,4.0,0,22.0,"Business, law, politics and intl. affairs",Asian,Western US,0
84,1,27.0,"Business, law, politics and intl. affairs",Caucasian,South America,8.0,7.0,6.0,6.0,6.0,5.0,7.0,4.0,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,0
85,1,27.0,"Business, law, politics and intl. affairs",Caucasian,South America,6.0,8.0,7.0,8.0,7.0,5.0,6.0,4.0,0,26.0,"Business, law, politics and intl. affairs",Other,Western US,0
86,1,22.0,"Business, law, politics and intl. affairs",Caucasian,Europe,7.0,8.0,10.0,7.0,7.0,5.0,8.0,4.0,0,21.0,"Business, law, politics and intl. affairs",Asian,Mid US,0
87,1,22.0,"Business, law, politics and intl. affairs",Caucasian,Europe,7.0,6.0,10.0,6.0,6.0,5.0,8.0,4.0,0,24.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,0
88,1,22.0,"Business, law, politics and intl. affairs",Caucasian,Europe,6.0,7.0,10.0,6.0,6.0,5.0,7.0,3.0,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,0
89,1,22.0,"Business, law, politics and intl. affairs",Caucasian,Europe,6.0,5.0,10.0,6.0,6.0,5.0,6.0,3.0,1,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,0
90,1,22.0,"Business, law, politics and intl. affairs",Caucasian,Europe,6.0,7.0,10.0,7.0,6.0,5.0,7.0,4.0,1,21.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,0
91,1,22.0,"Business, law, politics and intl. affairs",Caucasian,Europe,6.0,8.0,10.0,6.0,7.0,6.0,7.0,4.0,0,23.0,"Business, law, politics and intl. affairs",Asian,Eastern US,0
92,1,22.0,"Business, law, politics and intl. affairs",Caucasian,Europe,7.0,9.0,10.0,6.0,6.0,5.0,8.0,4.0,1,22.0,"Business, law, politics and intl. affairs",Asian,Western US,1
93,1,22.0,"Business, law, politics and intl. affairs",Caucasian,Europe,8.0,8.0,10.0,7.0,6.0,5.0,9.0,4.0,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,1
94,1,22.0,"Business, law, politics and intl. affairs",Caucasian,Europe,8.0,8.0,10.0,7.0,6.0,5.0,8.0,4.0,0,26.0,"Business, law, politics and intl. affairs",Other,Western US,1
95,1,22.0,"Business, law, politics and intl. affairs",Asian,Western US,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1,21.0,"Business, law, politics and intl. affairs",Asian,Mid US,1
96,1,22.0,"Business, law, politics and intl. affairs",Asian,Western US,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0,24.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,1
97,1,22.0,"Business, law, politics and intl. affairs",Asian,Western US,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,1
98,1,22.0,"Business, law, politics and intl. affairs",Asian,Western US,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1,21.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,1
99,1,22.0,"Business, law, politics and intl. affairs",Asian,Western US,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1,23.0,"Business, law, politics and intl. affairs",Asian,Eastern US,1
100,1,22.0,"Business, law, politics and intl. affairs",Asian,Western US,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,1
101,1,22.0,"Business, law, politics and intl. affairs",Asian,Western US,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0,26.0,"Business, law, politics and intl. affairs",Other,Western US,1
102,1,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,7.0,8.0,9.0,8.0,9.0,8.0,7.0,7.0,0,21.0,"Business, law, politics and intl. affairs",Asian,Mid US,1
103,1,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,0,24.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,1
104,1,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,7.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,1
105,1,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,7.0,7.0,7.0,9.0,9.0,9.0,8.0,10.0,1,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,1
106,1,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,6.0,8.0,6.0,8.0,10.0,10.0,7.0,7.0,1,21.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,1
107,1,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,6.0,8.0,8.0,7.0,9.0,8.0,7.0,7.0,0,23.0,"Business, law, politics and intl. affairs",Asian,Eastern US,1
108,1,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,8.0,8.0,9.0,8.0,9.0,9.0,8.0,7.0,1,22.0,"Business, law, politics and intl. affairs",Asian,Western US,1
109,1,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,1
110,1,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,7.0,8.0,7.0,8.0,8.0,7.0,7.0,7.0,0,26.0,"Business, law, politics and intl. affairs",Other,Western US,1
111,1,24.0,"Business, law, politics and intl. affairs",Latino,Mid US,8.0,7.0,9.0,6.0,9.0,7.0,8.0,6.0,0,21.0,"Business, law, politics and intl. affairs",Asian,Mid US,1
112,1,24.0,"Business, law, politics and intl. affairs",Latino,Mid US,10.0,10.0,10.0,10.0,7.0,8.0,10.0,1.0,1,24.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,1
113,1,24.0,"Business, law, politics and intl. affairs",Latino,Mid US,8.0,8.0,9.0,8.0,8.0,9.0,9.0,7.0,0,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,1
114,1,24.0,"Business, law, politics and intl. affairs",Latino,Mid US,5.0,9.0,9.0,7.0,9.0,5.0,5.0,7.0,0,21.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,0
115,1,24.0,"Business, law, politics and intl. affairs",Latino,Mid US,9.0,7.0,9.0,7.0,9.0,6.0,9.0,2.0,1,23.0,"Business, law, politics and intl. affairs",Asian,Eastern US,1
116,1,24.0,"Business, law, politics and intl. affairs",Latino,Mid US,8.0,7.0,9.0,6.0,9.0,5.0,8.0,4.0,0,22.0,"Business, law, politics and intl. affairs",Asian,Western US,1
117,1,24.0,"Business, law, politics and intl. affairs",Latino,Mid US,7.0,9.0,8.0,9.0,7.0,7.0,7.0,8.0,0,26.0,"Business, law, politics and intl. affairs",Other,Western US,1
118,1,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,7.0,7.0,8.0,8.0,7.0,7.0,7.0,6.0,0,21.0,"Business, law, politics and intl. affairs",Asian,Mid US,1
119,1,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,7.0,8.0,7.0,5.0,7.0,7.0,7.0,5.0,0,24.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,1
120,1,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,1
121,1,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,6.0,6.0,7.0,7.0,8.0,7.0,6.0,6.0,0,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,1
122,1,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,5.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0,0,21.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,0
123,1,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,6.0,6.0,8.0,8.0,8.0,7.0,6.0,6.0,0,23.0,"Business, law, politics and intl. affairs",Asian,Eastern US,1
124,1,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,8.0,8.0,8.0,6.0,6.0,6.0,7.0,7.0,0,22.0,"Business, law, politics and intl. affairs",Asian,Western US,1
125,1,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,8.0,7.0,7.0,7.0,8.0,7.0,7.0,6.0,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,1
126,1,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,6.0,6.0,7.0,8.0,7.0,7.0,6.0,5.0,0,26.0,"Business, law, politics and intl. affairs",Other,Western US,1
127,1,30.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,3.0,6.0,7.0,5.0,8.0,7.0,2.0,1.0,0,21.0,"Business, law, politics and intl. affairs",Asian,Mid US,0
128,1,30.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,5.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,0,24.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,0
129,1,30.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,6.0,3.0,5.0,4.0,5.0,4.0,2.0,2.0,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,0
130,1,30.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,7.0,6.0,3.0,5.0,6.0,5.0,6.0,4.0,0,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,1
131,1,30.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,2.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,0,21.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,0
132,1,30.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,5.0,6.0,8.0,4.0,5.0,4.0,3.0,3.0,0,23.0,"Business, law, politics and intl. affairs",Asian,Eastern US,0
133,1,30.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,7.0,6.0,5.0,4.0,4.0,3.0,5.0,4.0,0,22.0,"Business, law, politics and intl. affairs",Asian,Western US,0
134,1,30.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,6.0,4.0,7.0,5.0,6.0,4.0,4.0,4.0,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,0
135,1,30.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,8.0,6.0,7.0,8.0,6.0,5.0,8.0,4.0,0,26.0,"Business, law, politics and intl. affairs",Other,Western US,1
136,1,27.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,6.0,7.0,5.0,6.0,8.0,6.0,7.0,5.0,0,21.0,"Business, law, politics and intl. affairs",Asian,Mid US,0
